0,4,9,6,5,49,51,54,53,53,53,55,53,56,54,53,53,55,55,54
4,0,7,4,1,47,49,52,51,51,51,53,51,54,52,51,51,53,53,52
9,7,0,4,6,48,50,53,52,52,52,54,52,55,53,52,52,54,54,53
6,4,4,0,2,47,49,52,51,51,51,53,51,54,52,51,51,53,53,52
5,1,6,2,0,48,50,53,52,52,52,54,52,55,53,52,52,54,54,53
49,47,48,47,48,0,13,13,4,4,72,74,72,75,73,64,64,66,66,65
51,49,50,49,50,13,0,1,13,13,74,76,74,77,75,66,66,68,68,67
54,52,53,52,53,13,1,0,13,13,77,79,77,80,78,69,69,71,71,70
53,51,52,51,52,4,13,13,0,1,76,78,76,79,77,68,68,70,70,69
53,51,52,51,52,4,13,13,1,0,76,78,76,79,77,68,68,70,70,69
53,51,52,51,52,72,74,77,76,76,0,8,7,9,2,52,52,54,54,53
55,53,54,53,54,74,76,79,78,78,8,0,6,2,7,54,54,56,56,55
53,51,52,51,52,72,74,77,76,76,7,6,0,7,6,52,52,54,54,53
56,54,55,54,55,75,77,80,79,79,9,2,7,0,9,55,55,57,57,56
54,52,53,52,53,73,75,78,77,77,2,7,6,9,0,53,53,55,55,54
53,51,52,51,52,64,66,69,68,68,52,54,52,55,53,0,1,11,8,9
53,51,52,51,52,64,66,69,68,68,52,54,52,55,53,1,0,10,8,9
55,53,54,53,54,66,68,71,70,70,54,56,54,57,55,11,10,0,8,5
55,53,54,53,54,66,68,71,70,70,54,56,54,57,55,8,8,8,0,7
54,52,53,52,53,65,67,70,69,69,53,55,53,56,54,9,9,5,7,0
